address,lat,long
Lajpat Nagar,28.5792615,77.2440325
River Punj,40.2041165,44.497609
Shivalaya,28.22281955,83.6850609822044
Baisakhi,27.46857,92.10938
Town Hall refugee camp,45.1589955,15.8208248
Amar Colony,28.5615391,77.2431499
Punj,40.2041165,44.497609
Amar Colony Market,28.5615391,77.2431499
Dera Ismail Khan,31.827527,70.9090919
Novelty Cinema,-20.3146024,57.52455754757134
Tibbia College,44.6516638,10.5743479
Chakki,25.6301223,84.22541676204472
Kohat,33.5967144,71.4399944
Iran,32.6475314,54.5643516
Mushera Cantt,NA,NA
Chatta,28.5407992,67.74641
Dariba Kalan,28.6546024,77.2333794
Saket,28.5244107,77.2137253
Lalheri,30.7199405,76.2450526
Samrala Tehsil,NA,NA
Russia,64.6863136,97.7453061
Kunjah,32.52999,73.9742317
Khanewal,29.8861601,76.020112
Attari,30.5582352,74.436969
Irwin Road,40.113415,-83.487814
Rashtrapati Bhavan,28.614359450000002,77.19960101014068
Camp College,32.9723128,-94.9852858
Sunderpur,29.5638766,76.0881076
Narwana Tehsil,25.4310474,72.9945802
Jind District,29.5,76.25
Katra Neel,28.6576181,77.2257763
Hafizabad,32.072546,73.6857558
Punjabi,48.1009166,11.5847712
Vanike Tarar,32.2183961,73.585863
Vinoba Puri,19.89267265,86.08716421876011
Mehrauli,28.5218262,77.1783232
Dharamshala,32.2143039,76.3196717
Bareilly,28.457876,79.40557093743058
Kucha Chelan,NA,NA
Montgomery,32.3669656,-86.3006485
Sahiwal,30.6715098,73.1110572
Lahore District,31.416667,74.333333
Harappa,30.6270682,72.8664834
Sutlej River,30.9874672,76.0941619
Sheikhan Bazaar,NA,NA
California,36.7014631,-118.755997
San Francisco,37.7790262,-122.4199061
Los Angeles,34.0536909,-118.242766
Pomona,34.0553813,-117.7517496
Malakwal,32.5535526,73.2057254
Mandi Bahauddin District,32.5018542,73.6368758
Jhelum District,32.82928355,73.4741991539083
Mandi Bahauddin,32.5846351,73.4914169
Amritsar District,-29.5532042,30.3849824
Khairpur,30.8189679,76.6435003
Kutchery Road,29.1452463,71.250273000000007
Bihar,25.6440845,85.906508
United Provinces,26.725605899999998,84.23014427985362
Warsaw,52.2319581,21.0067249
Nashik,20.0112475,73.7902364
Maharashtra,18.9068356,75.6741579
Coimbatore,11.0018115,76.9628425
Ooty,11.4126769,76.7030504
Tamil Nadu,10.9094334,78.3665347
Indus River,61.0695705,-131.0183573
Gorakhpur,26.67132865,83.36458284327038
Bengal,39.4735045,-85.9228997
Faridpur,28.19334815,79.54195008128515
Gopalganj,26.4207265,84.37406407415165
Khulna,22.9372087,89.2852741
Pucca Siddhar,NA,NA
Pakpattan,30.3422503,73.3891875
Firozpur District,31.1155682,74.47093902079737
Timarpur,28.70126285,77.21867953631201
MUnited Kingdomherjee Nagar,NA,NA
Bijwasan,28.5348303,77.0534531
Kullu,32.00186325,77.37899639741332
Roorkee,29.8693496,77.8902124
Dera Gazi Khan,30.0321374,70.6401114
Malviya Nagar,28.5339201,77.2124474
Moti Nagar,28.657859,77.1424288
Karampura,28.6647004,77.1468691
Samalkha,29.230495349999998,77.00183007905738
Manipur,24.7208818,93.9229386
Budhapur,25.6781988,68.3352793
Larkana,27.5564798,68.2101509
Dera Nawab Sahib,28.9655721,70.3486048
Multan Station,30.1979793,71.4724978
Mian Mir,31.5486368,74.3595183
Hailey Road,51.802577,-1.4870831
Chiniot,31.7219942,72.9800348
Jhang,33.6748125,72.6963493
Bela Road,41.048743,-79.614861
Ballimaran,28.6531586,77.2254416
Masjid,18.9527781,72.8381032
Gorkha,27.97749565,84.60585945338437
Panipat,29.3912753,76.9771675
Kulachi,31.9299926,70.4592265
Dera Ismail Khan District,32,70.5
Khurasan,55.8274513,46.8684032
Persia,32.6475314,54.5643516
Jandola Cantonment,32.3339941,70.1219562
Jandola,32.3339941,70.1219562
Bikaner,28.0159286,73.3171367
Singapore,1.357107,103.8194992
Nushki,29.550001,66.0166996
Balochistan Province,25.0397571,66.8688242
Loralai,30.366865,68.6000654
Bombay Harbor,NA,NA
Matunga,19.0274356,72.8501467
Palwal,28.176958900000002,77.37311203790532
Baroda,22.2973142,73.1942567
Vadodra,22.3279287,73.2187358
United States of America of America,33.737886,-87.2525024
Princeton,40.3492744,-74.6592958
New Jersey,40.0757384,-74.4041622
East Germany,51.1461391,12.233285
West Germany,50.09805815,8.546215090872613
North Vietnam,19.3738868,104.9233469
South Vietnam,52.5398428,13.4117863
Jallianwala Bagh,31.62085375,74.88013037088294
Khari Baoli,28.6571382,77.2210697
Red Fort,28.65608095,77.24079592327321
Haranpur,32.5776074,73.1600928
Ropar,30.9714438,76.5302085
Ropar District,30.983333,76.516667
Allahabad,25.4381302,81.8338005
Roshanara Road,24.722726,90.9466474
Rajouri Garden,28.6421518,77.11606037769263
Kanjhawala,28.7358173,77.0043151
Upper Mall,31.5447676,74.354696
Cuttack,20.4686,85.8792
Banaras,24.9425872,67.0089316
Varanasi,25.3356491,83.0076292
Pul Kanjari Village,NA,NA
Gurdwara Sahib,37.9597589,-122.3167164527328
Tehsil Pind Dadan Khan,32.5900295,73.0410928113333
Sant Nagar,31.572019349999998,74.2960010982637
Krishna Nagar,27.51547255,82.79253303740091
Bhera,-8.7112848,122.0768547
Sargodha District,32.166667,72.5
Punjab National Bank,30.885276599999997,75.7871250925534
Udaipur State,24.578721,73.6862571
Rajpur Road,19.3987177,85.0042868
Kota,25.1968256,76.00089330885552
Sainik Vihar,28.63756575,77.03106136999781
Loki,66.2900192,-15.7636727
Akhoda District,NA,NA
Banglatown,42.4094697,-83.066558
Nankana Sahib,31.4446506,73.6933253
Akhoda,NA,NA
Raiwind,31.2442237,74.215911
Kishanganj,26.29863795,87.95314810923409
Hudson Line,28.6960379,77.2059319
Alwar,27.639077049999997,76.6144524902045
Shastri Bhawan,28.6160559,77.21439694584296
Dugalpura,NA,NA
Dhamial,33.5505849,73.0196743
Orissa,20.5431241,84.6897321
Rajya Sabha,28.6165061,77.2073127
Jawahar Lal Nehru Stadium,12.945419950000002,74.81376522063071
Islampura,26.410705,75.4331159
Lodhi Road,28.5910814,77.2289936
East Patel Nagar,28.645649,77.1725666
Janpath Road,28.6283589,77.2193823
Chak Bedi,NA,NA
Gali Teliyan,NA,NA
Fatak Habash Khan,NA,NA
Tilak Bazzar,27.9111426,84.893002
Hindustan,22.3511148,78.6677428
Yamuna River,28.63092935,77.25634998299665
Sitaram Bazaar,28.6460888,77.2306181
Delhi Gate,28.6392174,77.2407795
Guptas,19.1786852,72.8467195
Holika,41.7265859,44.7303893
Old Delhi,28.6576937,77.22893
Shiksha Mantralaya,NA,NA
Polytechnic,51.5168987,-0.14330516808711596
Balakot Village,28.0865973,83.67431697402105
Mansehra District,34.5,73.25
Balakot,28.0865973,83.67431697402105
Khan,37.9557275,-3.492055612037218
Muzaffarabad,34.3734751,73.4702407
Dantala,25.662083,72.4574035
Siwani Tehsil,NA,NA
Village Saagri,57.646072399999994,27.309025149538257
Saagri,57.646072399999994,27.309025149538257
Khan Market,28.6001354,77.22649064087364
Attock Fort,33.8916628,72.2368437
Mall Road,31.104405,77.1615323
Salav,14.9051378,-23.5171117
Hazira,21.0956055,72.6466021
Surat,45.9383,3.2553
Bihariji Temple,NA,NA
Bahawalnagar,29.9935922,73.2527621
Abu Road,24.4828256,72.7820384
Mount Abu Rajasthan,24.592433,72.7081876
Vadodara,22.2973142,73.1942567
Daska Tehsil,NA,NA
Pilani,28.3622661,75.6042342
Belgium,50.6402809,4.6667145
Sonipat,29.0033144,77.0167323
Chinaut,NA,NA
Bannu,32.898866600000005,70.68663999168523
North West Frontier,11.022514600000001,-74.86096923820884
Lakki,32.6056744,70.9113526
New Rajinder Nagar,28.637853,77.18718
Cambridge,52.2034823,0.1235817
Dera Gopipur,31.96341325,76.11015319018884
Kangra District,33.105633,73.6823659
Viceregal Lodge,31.103749049999998,77.1417684611952
Kangra,32.06854705,76.24336792335127
Hazara,32.8099745,74.2691048
Hoshiarpur,31.60857425,75.84644246890946
Palam Airport,28.55498885,77.08468539186305
Nawan Kot,31.5716984,75.0045204
Layyah,30.964868,70.9455995
Multani,51.5213087,6.94899166730513
Lohianwala,32.2078955,74.1824958
Panja Mahal Road,NA,NA
Mozang,31.553745,74.3141492
Dhariwal,31.952066,75.3217361
Gurdaspur,31.904229899999997,75.22738141098935
Kund,46.2727808,24.5122881
Butala Village,45.4932071,15.0771747
Dera Baba Nanak,32.0317917,75.0284641
Old SUnited Kingdomkur,NA,NA
Bhadrawati,20.1006291,79.1254709
Burewala,31.025763,74.8566529
Kasur,31.1175143,74.4478314
Delhi Railway Station,28.73682695,76.85967908993032
Gumti Bazaar,31.582284,74.3162806
Spiti Valley,32.370901,78.08534855996182
Mitranwali,32.3655762,74.2407164
District Sialkot,32.333333,74.666667
Pasroor,32.4813333,74.5459158
Mardan,34.1937969,72.0451467
West Patel Nagar,28.6519279,77.162923
Mohabat Khan Road,NA,NA
Harding Bridge,45.5509163,-103.4791412
Toronto,43.6534817,-79.3839347
Toledo,39.8560679,-4.0239568
Ohio,40.2253569,-82.6881395
Taxila,33.7474551,72.8073364
Seri Village,-3.7484302,128.1657684
Muzaffarabad District,34.4140733,73.3636074
Azad Kashmir,30.3308401,71.247499
Himachal,31.81676015,77.34932051968858
Kheeva,NA,NA
Khiva,41.3776893,60.3620006
Central Punjab,31.5655601,74.3142437
Kanpur,26.4609135,80.3217588
Saran,25.90835495,84.78074760594323
Ekma,25.9801716,84.55936394871267
Ravana,39.6528055,66.970756
Lahori Darwaza,NA,NA
Town Hall,46.162634,16.832255155471614
Camp,32.9723128,-94.9852858
Patna,25.6093239,85.1235252
Kanchkaan,NA,NA
Badami Bagh,34.0634286,74.8535447
Bhogpur,31.5536751,75.6419145
Rocklin,38.7907339,-121.2357828
Jandiala,31.1596218,75.617373
Jamshedpur,22.8015194,86.2029579
Colaba,18.915091,72.8259691
Juhu Koliwada,19.0818759,72.8252908
Shillong,25.5760446,91.8825282
Meghalaya,25.5379432,91.2999102
Kaushalya,24.7042326,84.9897124
Arya Kanya Mahila Mahavidyalaya,NA,NA
Dhobimandi,NA,NA
Dhakuria,22.5094085,88.371185
Baffa,34.4365258,73.2190526
Hazara District,34.594031,69.103963
Mansehra,34.3286855,73.1993125
Pathan,31.5436867,77.0423877
Rambagh,28.8529058,73.8972187
Saigon,10.7758439,106.7017555
Bangkok,13.7544238,100.4930399
Muradnagar,28.7733808,77.5033582
Rustom Sardana,NA,NA
LIC Colony,10.7751965,79.1198951
Dabbi Bazaar,31.5832189,74.3194237
Dhudumar,NA,NA
Attock District,33.416667,72.333333
Naveen Shahdara,28.6773386,77.2860157
Village Hadali,16.5756,32.5519
Kings College,-36.9556245,174.83985865352435
Lawrence Gardens,51.3660883,1.1461484
Kasauli,30.85844455,76.99796611489867
Gunahoor,NA,NA
KamUnited Kingdomi,NA,NA
Central College Lahore,31.5655601,74.3142437
Tando Allahyar,25.2934734,68.6095986
United Kingdom,54.7023545,-3.2765753
Dakota,44.666655,-93.044911
Mughalpura,29.5116503,75.868003
Delhi Polytechnic,28.5983707,77.32259468511131
South Delhi,28.485169399999997,77.19637972381611
FarUnited Kingdoma,NA,NA
Chheharta,31.622127,74.7947637
Anandparvat,NA,NA
Qadirabad,32.297263,73.5025289
Chenab,32.2608157,73.5539105
Tehsil Phalia,NA,NA
Mandi BahauddinDistrict,NA,NA
Roop Nagar,28.6850029,77.2001231
Dariya Khan,28.572241650000002,77.2167515
Hakikat Nagar,28.698520549999998,77.20855670518489
Doha,25.2856329,51.5264162
Qatar,25.3336984,51.2295295
Rohtak,28.9010899,76.5801935
Pindigheb,NA,NA
Campbellpur,NA,NA
Bhand,25.6477648,76.2257087
Bhopal,23.2584857,77.401989
North America,51.0000002,-109
Mian Channu,30.4389367,72.3550547
Mori Gate High School,35.68601365,139.82794429293307
Raja Bazaar,33.6123094,73.0563396
Hassanabdal,33.8268967,72.6992448
Chaklala,33.5845348,73.10758534672956
Uttar Pradesh,27.1303344,80.859666
Rangoon,16.7967129,96.1609916
Hanu Ka Chajja,NA,NA
Model Town,28.7027136,77.1939912
Meerut,29.000652549999998,77.76822875372174
Safdarjung Airport,28.5851893,77.20624264329132
Agra,27.1752554,78.0098161
Ranchi,23.3700354,85.3250132
Shambhu,30.4288941,76.6838914
Khaur,33.2654556,72.4633816
Fatehgunj,NA,NA
Doctor Lane,53.318753,-1.2587649
Janpath,28.6264348,77.2193638
Bhatinda,30.25,75
Kandiaro,27.0594568,68.2103517
Okha,53.5891082,142.9497542
Rajanpur,29.1042715,70.3283163
Bagla,22.970025,57.2986957
Hazara Region,37.4488993,42.0306466
Pujra,NA,NA
Kaumari,12.5232321,12.8893051
Mariburari,NA,NA
Najafgarh,28.6131778,76.9982846
Yamunanagar,30.2112003,77.28638972360895
Zhob,31.3397058,69.4476997
Ikhlaspur,NA,NA
District Gurdaspur,32.166667,75.316667
Raisina Hill,28.6142263,77.2039446
Harnai,17.8365241,73.0912997
Ujh River,32.5259607,75.4602088
Sachcha Sauda,NA,NA
Juhu,19.1070215,72.8275275
Khipro,25.8273375,69.3757258
Tharparkar District,24.9431856,70.24104736859542
Dadu,26.7274836,67.7804974
Fatehnagar,24.8156354,74.0942855
Chittor,24.88171425,74.64669478790279
Udaipur,24.578721,73.6862571
Jamnagar,22.4732415,70.0552102
Indore,22.7203616,75.8681996
Badnagar,23.06364835,75.44733497804151
Bharatpur,27.26521245,77.36912554739122
Mathura,27.633333,77.583333
Metapan Lines,NA,NA
Godhra,22.7785001,73.6245157
Vallabh Vidyanagar,22.5473781,72.9286242
Anand,22.5584995,72.9625629
Western Railway,-33.6349644,18.9930457
Chola,11.978705,75.504691
Grand Trunk Road,34.015726,71.7256974
Cochin,9.9313695,76.2673759
Sambrial,32.4769011,74.3528918
Sialkot District,32.333333,74.666667
Chuharkana Mandi,NA,NA
Delhi Public Library,42.4299921,-91.33209
Moti Cinema Hall,33.6019698,73.0667607
Gandhi Ground,9.17287885,77.86852248899025
Gurudwara Sis Ganj Sahib,28.6190322,77.20471484280851
Safdarjung Hospital,28.569473,77.2036422
Outram Line,53.7679928,-2.4804012
Himachal Pradesh,31.81676015,77.34932051968858
Chembur,19.0626319,72.9011399
Chella Village,39.0419532,-0.6591132
Jhang-Maghiana,NA,NA
Tagore Road,19.0842162,72.8363949
Sarojini Nagar,28.5741575,77.1953703
Queens Road,36.1313288,-5.3474039
"Sukho Village, Rawalpindi Division, West Punjab",NA,NA
"Kunjah, Gujrat District, West Punjab",32.6151883,73.820536
"Sukkur District, Sindh",27.700689699999998,68.88194531236559
"Old Sukkur, Sindh",27.7096535,68.87524604094284
Wagah Border,31.604499,74.5719054
Barwe,51.9177975,7.597980796683849
"Sukkur, Sindh",27.6961883,68.8588754
Jaranwala Mandi,31.422001,73.9973832
Jaranwala,29.5020986,75.9467703
Ravi,32.300915,76.6068735
Jaranwala Faisalabad,31.3676244,73.2850974
Nangal,31.3837484,76.3754353
Dhuri,30.3708266,75.8647369
Round Rock,30.508235,-97.6788934
Texas,31.8160381,-99.5120986
Mahmudabad,27.364907199999998,81.20886126926314
Nayi Basti,28.6609308,77.180043973529
Tehsil Jahaniya Mandi,NA,NA
Chak 40,32.4929469,73.3842754
Jahanian Mandi,NA,NA
Halwasiya Hall,26.8491511,80.9411956
Old Delhi Railway,28.6576937,77.22893
Dadri,28.54679275,77.49950856628618
Safdarjung,28.5929662,77.210903
Zindabad,32.295950499999996,-64.7782391
Kashmir Villa,35.2444908,58.464248
Murree Hills,34.15661725,73.2398759068218
Telangana,17.8495919,79.1151663
Baltimore,39.2908816,-76.610759
Guru Arjun Nagar,31.575297550000002,74.31945806533098
Nankana Sahib Gurudwara,31.445234749999997,73.69596835180317
Moghalpura,17.3575281,78.4770839
barrack 12,-39.9134088,175.0496777
USA,39.7837304,-100.4458825
Khyber Pass,34.0940036,71.144194
Vijapur,23.5590941,72.7449399
Ahmedabad,23.0216238,72.5797068
Sikkim,27.601029,88.45413638680145
Skipton Lodge,53.9604817,-2.0151186
Lenu Bhawan,NA,NA
Village Munak Khurd,NA,NA
Dasuya Tehsil,NA,NA
Hoshiarpur District,31.3499803,76.2142935
Jullundur,31.416667,75.616667
Sainik Farms,28.5056751,77.2170344
Parua,25.8143408,87.8521728
Bayana Tehsil,26.91158275,77.24591907611799
Bharatpur District,27.6806608,84.4381059
Jabalpur,23.1608938,79.9497702
Patel Road,30.1892462,67.0101387
Shahji,24.433397,76.7076802
Ravi river,31.7129447,74.453125575
Lahore Railway Station,31.57717765,74.33630796218154
Gujarat District,22.3850008,71.7452633
Kanak Mandi,30.187361,71.440272
Vehari Mandi,30.175281,71.469176
Mori Gate,28.664203,77.2237393
Purani Sabzi Mandi,31.4119926,73.0676336
Tauru,30.5402342,77.7772808
Pushpanjali enclave,28.6541826,77.3079723074116
Rawalpindi Sadar Thana,30.9292303,74.6212807
Pindi-Marhi Transport,NA,NA
Kohala,20.0749887,-155.7186917
Deryala,NA,NA
Gujar Khan Tehsil,33.2543205,73.3065712
Ratta Village,33.3666521,73.6579208
Nagpur,21.1498134,79.0820556
Wah Refugee Camp,NA,NA
Chaklala Base,33.6107021,73.09523159264151
Mustafabad,25.9019578,81.2780924
Ghanta Ghar Sabzi Mandi,NA,NA
Ismail Awan,-8.323581950000001,117.79710665713745
Mohalla Water Works,NA,NA
Chanderwati,NA,NA
Channu Mome,NA,NA
Chaman,30.9248781,66.4406987
Udhampur,33,75.166667
Bhagwanpur,24.91864725,83.63516761350547
Railway Station,44.4066928,8.9469156
Thar Desert,27.5,70
Sabzi Mandi,33.153029,73.734956
Tilak Nagar,28.6365482,77.0964961
Manglotha,NA,NA
Anjuman-e-Taraqqi-e-Hind,NA,NA
Kot Shakir,31.4780775,72.0689653
Mandi,31.6723392,76.95331690779145
Sapna,44.4916604,19.0027278
Chinari Village,46.605257,24.5896912
Mangowal,31.1557474,75.2239036
Ashtami,8.968367350000001,76.56382225412139
Chinari,46.605257,24.5896912
Hudson Lane,41.698393,-73.972027
Kendriya Lok Nirmaan Vibhag,NA,NA
Mohalla Muzala,NA,NA
